Chacra;1.Sup;1.RegTen;1.porc_MA;1.porc_PE;1.porc_CA;1.porc_OTRO;1.porc_SC;1.EdadPEyMA;1.MOtot;2.EmpPr;2.Comerc;2.IndPr;3.MOfam;3.MH_PR;3.MH_FP;3.Act_PR;3.MO_nofam_PER;3.MO_nofam_TEM;3.MO.PER/TOT;4.Tract;4.EdTract;4.PotTract;4.Pulv;4.EdPulv;4.CapPulv;4.Elev;4.EdElev;5.Dens;5.porc_Libre;5.porc_Esp;5.porc_SinDEF;5.porc_ASP;5.porc_CAL;5.porc_OTRO;5.porc_JOVEN;5.porc_NUEVAS;6.RendRED;6.porc_BUE;6.porc_REG;6.porc_MAL
IHU10;12;P;74,77;3,71;19,91;1,62;0;18,95;13;Si;Nac;No;prod;6;6;C;0,08;0,92;0,08;1;90;60;1;92;2000;1;92;535,95;57,58;42,42;44,23;55,77;0;0;43,1;10,83;35,33;100;0;0
IHU11;10,75;P;64,8;35,2;0;0;0;18,41;0;No;No;No;nadie;0;0;N;0;0;;;;;;;;;;304,76;46,1;53,9;100;0;0;0;34,87;12,73;47,92;100;0;0
IHU13;7;P;56,22;43,78;0;0;0;8,56;9;No;No;No;pr+fl;12;0;N;0;1;0;;;;;;;;;679,93;64,18;35,82;100;0;0;0;55,72;31,84;20,99;100;0;0
MAI07;15;P;54,87;12,05;6,98;26,1;0;20,9;19;No;No;No;prod;12;0;N;0,07;1,13;0,06;1;63;40;1;65;1200;1;85;161,47;100;0;100;0;0;0;16,28;1,99;35,23;100;0;0
MAI08;25;P;69;12,34;3,68;4;10,99;16,39;33;No;No;No;nadie;0;0;N;0,16;1,16;0,12;2;71;40;1;86;1500;1;74;569,96;36,95;63,05;100;0;0;0;32,95;18,81;40,29;100;0;0
VRG09;13,9;D;53,91;27,99;0;0;18,1;23,61;14;No;No;No;prod;0;12;O;0;0,94;0;;;;;;;;;217,66;100;0;100;0;0;0;33,37;0;25,16;78,18;21,82;0
VRG16;5,53;P;68,42;22,75;8,83;0;0;14,26;8;No;No;No;prod;12;0;N;0;1,27;0;1;56;45;1;73;1200;;;348,96;67,65;32,35;49,01;0;0;50,99;49,93;4,21;37,49;100;0;0
VRG19;12,5;P;51,09;22,88;17,4;0;8,63;19,67;6;No;No;No;prod;12;0;N;0,16;0,24;0,4;2;82;58;1;89;1500;1;89;484,46;48,95;51,05;62;38;0;0;47,69;0;28,03;100;0;0
VRG20;11,7;P;61,22;27,42;7,36;4;0;23,47;17;Si;Ambos;Si;prod;0;0;N;0;0,43;0;2;73;38;1;92;2000;1;78;341,97;92,05;7,95;91,71;8,29;0;0;22,21;6,7;34,51;85,12;12,04;2,84
VRG23;22,27;P;80,53;19,47;0;0;0;16,22;16;Si;Ambos;No;nadie;0;0;N;0;0,72;0;;;;;;;;;311,4;81,05;18,95;51,05;0;48,95;0;10,53;0;42,38;100;0;0
VRG24;7,57;P;78,05;21,95;0;0;0;19,1;12;No;No;No;prod;2;0;X;0,13;1,32;0,09;;;;;;;;;496,1;50,41;49,59;0;100;0;0;36,74;0;29,69;100;0;0
VRG25;9,48;P;38,1;61,9;0;0;0;11;5;No;;No;pr+fl;4;8;X;0;0,32;0;;;;;;;;;513,01;44,25;55,75;100;0;0;0;53,68;31,19;36,88;100;0;0
VRG26;13,09;P;59,34;32,21;0;0;8,46;30,87;19;No;No;No;prod;12;0;N;0,08;1,3;0,06;1;73;42;1;70;1600;1;78;324,32;100;0;100;0;0;0;1,17;2,59;21,66;98,72;0;1,28
VRG27;9,03;P;55,56;44,44;0;0;0;14,56;5;No;No;No;pr+fl;12;0;N;0;0,33;0;1;78;40;1;80;1500;1;76;484,89;53,5;46,5;50,49;49,51;0;0;51,74;6,57;44,85;100;0;0
VRG28;12,1;P;43,91;42,72;13,37;0;0;10,55;16;No;No;No;prod;15;0;N;0;1,16;0;1;75;47;1;72;1600;;;594,71;50,17;49,83;100;0;0;0;52,72;0;33,49;98,71;1,29;0
VRG29;8,94;P;47,82;52,18;0;0;0;25,61;13;No;No;No;pr+fl;12;0;N;0,11;1,12;0,09;2;72;45;1;88;1500;1;73;452,41;74,13;25,87;61,29;38,71;0;0;20,7;0;31,01;100;0;0
